Solving the file: X-n219-k73.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    218 clients
    218 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
   217500   2248s |  39   117899   117644 |  61   113532   110027
   218000   2253s |  39   117755   117644 |  28   130870   118342
   218500   2257s |  47   117768   117644 |  28   124359   118320
   219000   2262s |  29   117795   117644 |  54   116890   114505
   219500   2267s |  51   117786   117644 |  40   120537   118249
   220000   2272s |  44   117831   117644 |  55   123247   118321
   220500   2277s |  61   117820   117644 |  46   121318   118563
   221000   2282s |  53   117903   117644 |  62   118224   117345
   221500   2287s |  59   117878   117644 |  64   121364   118371
   222000   2291s |  27   117822   117644 |  63   122399   118881
   222500   2297s |  29   117832   117644 |  28   117063   114832
   223000   2301s |  43   117777   117644 |  63   119034   118516
   223500   2306s |  40   117757   117644 |  33   119701   118582
   224000   2310s |  65   117807   117644 |  57   119686   118640
   224500   2316s |  56   117739   117644 |  33   107341    95600
   225000   2322s |  42   117778   117644 |  55   122258   118060
   225500   2328s |  39   117775   117644 |  26   105819   100816
   226000   2333s |  53   117747   117644 |  61   120873   118140
   226500   2338s |  28   117837   117644 |  53   119435   118592
   227000   2343s |  65   117883   117644 |  65   121626   116851
   227500   2348s |  61   117816   117644 |  36   119593   118247
   228000   2352s |  42   117764   117644 |  63   118710   118287
R                 |        restart        |        restart
   228500   2356s |  44   123127   117842 |  58   119619   118453
   229000   2361s |  40   117981   117781 |  29   120631   118165
   229500   2366s |  38   117914   117702 |  39   119741   118309
   230000   2371s |  46   117843   117695 |  39   119183   118637
   230500   2377s |  39   117786   117676 |  54   119488   118206
   231000   2382s |  51   117781   117667 |  50   122570   117437
   231500   2389s |  53   117724   117667 |  56   123165   117741
   232000   2395s |  30   117731   117667 |  46   123006   118000
   232500   2402s |  46   117726   117667 |  38   122218   118100
   233000   2409s |  55   117763   117667 |  37   109881   107015
   233500   2415s |  50   117795   117667 |  50   122639   117993
   234000   2421s |  32   117770   117667 |  35   124964   118228
   234500   2425s |  54   117803   117665 |  62   120751   118766
   235000   2430s |  55   117752   117665 |  28   123571   118370
   235500   2436s |  44   117807   117665 |  47   121141   118409
   236000   2440s |  25   117751   117665 |  33   119243   118505
   236500   2446s |  64   117770   117665 |  43   120585   118197
   237000   2450s |  40   117803   117632 |  34   119878   119301
   237500   2456s |  51   117672   117632 |  31   128085   118292
   238000   2464s |  27   117735   117632 |  64   121418   118439
   238500   2469s |  60   117742   117632 |  39   118820   118452
   239000   2473s |  38   117743   117632 |  28   111457   105101
   239500   2478s |  26   117712   117632 |  48   113879   106604
   240000   2483s |  43   117733   117632 |  39   119039   116941
   240500   2489s |  50   117718   117632 |  40   124349   118210
   241000   2495s |  31   117749   117632 |  26   132755   118798
   241500   2499s |  33   117813   117632 |  32   115769   113278
   242000   2505s |  26   117749   117632 |  47   124179   118497
   242500   2510s |  41   117798   117632 |  40   123077   118637
   243000   2515s |  39   117840   117622 |  50   121194   118038
   243500   2521s |  58   117719   117613 |  39   121681   118177
   244000   2526s |  58   117736   117613 |  47   124799   118226
   244500   2532s |  46   117708   117613 |  26   122615   118259
   245000   2538s |  41   117760   117613 |  39   120787   118395
   245500   2544s |  61   117766   117613 |  27   119490   117741
   246000   2550s |  40   117752   117613 |  56   123937   118431
   246500   2556s |  51   117724   117613 |  53   122988   118183
   247000   2560s |  34   117707   117613 |  37   106208    92474
   247500   2566s |  51   117812   117613 |  28   125357   118682
   248000   2571s |  41   117747   117613 |  46   119889   117898
R                 |        restart        |        restart
   248500   2576s |  35   118085   117738 |  27   118160   117753
   249000   2581s |  60   117955   117738 |  51   121474   117811
   249500   2586s |  60   117830   117721 |  59   119959   118670
   250000   2592s |  40   117804   117688 |  46   120476   119202
   250500   2597s |  62   117755   117688 |  32   119746   117980
   251000   2606s |  53   117815   117688 |  55   122081   118318
   251500   2612s |  59   117767   117688 |  57   121577   118372
   252000   2618s |  34   117817   117688 |  49   121224   117966
   252500   2623s |  60   117825   117688 |  31   118332   116376
   253000   2628s |  25   117731   117680 |  33   120091   117899
   253500   2634s |  42   117719   117668 |  65   109307    94079
   254000   2642s |  42   117762   117668 |  32   122191   117932
   254500   2646s |  58   117738   117668 |  65   121217   118082
   255000   2650s |  30   117744   117668 |  60   120642   118424
   255500   2655s |  37   117747   117668 |  61   116958   115358
   256000   2659s |  31   117782   117668 |  34   117941   115916
